Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
37769843	2023-03-07	Xi Jinping	(National) Major Party,Elite,Executive,Executive Office,Government,Government Major Party (In Government),Legislative / Parliamentary,Military,Parties,Unicameral	China	Engage in material cooperation	060	6	Police (China)	Government,Police	China	57108276	4	Unknown			Jiangsu Sheng	China	33	120
37769906	2023-03-07	Envoy (China)	Executive,Foreign Ministry,Government	China	Appeal for easing of economic sanctions, boycott, or embargo	0254	-0.3	UN Security Council	Global,Global Defense / Security IGOs,Global Diplomatic IGOs,International Government Organization		57108280	1	Unknown			Upper Nile	South Sudan	10	32.7
37769928	2023-03-07	Xiao Jie	Executive,Executive Office,Government	China	Make statement	010	0	China		China	57108282	4	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37769918	2023-03-07	World Health Organization	Global,Global Diplomatic IGOs,Global Health IGOs,International Government Organization		Make an appeal or request	020	3	China		China	57108284	2	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37769919	2023-03-07	World Health Organization	Global,Global Diplomatic IGOs,Global Health IGOs,International Government Organization		Make a visit	042	1.9	China		China	57108284	3	Unknown	Wuhan		Hubei Sheng	China	30.5833	114.267
37769920	2023-03-07	China		China	Host a visit	043	2.8	World Health Organization	Global,Global Diplomatic IGOs,Global Health IGOs,International Government Organization		57108284	3	Unknown	Wuhan		Hubei Sheng	China	30.5833	114.267
37769865	2023-03-07	Qin Gang	Executive,Government,Information / Communication / Transparency Ministry	China	Make a visit	042	1.9	China		China	57108287	1	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37769867	2023-03-07	China		China	Host a visit	043	2.8	Qin Gang	Executive,Government,Information / Communication / Transparency Ministry	China	57108287	1	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37769866	2023-03-07	Qin Gang	Executive,Government,Information / Communication / Transparency Ministry	China	Make a visit	042	1.9	China		China	57108287	5	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37769868	2023-03-07	China		China	Host a visit	043	2.8	Qin Gang	Executive,Government,Information / Communication / Transparency Ministry	China	57108287	5	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37769822	2023-03-07	Foreign Affairs (Syria)	Executive,Foreign Ministry,Government	Syria	Consult	040	1	Foreign Affairs (United States)	Executive,Foreign Ministry,Government	United States	57108288	1	Unknown	Ankara		Ankara	Turkey	39.9199	32.8543
37769825	2023-03-07	Foreign Affairs (United States)	Executive,Foreign Ministry,Government	United States	Consult	040	1	Foreign Affairs (Syria)	Executive,Foreign Ministry,Government	Syria	57108288	1	Unknown	Ankara		Ankara	Turkey	39.9199	32.8543
37769821	2023-03-07	Turkey		Turkey	Make an appeal or request	020	3	United States		United States	57108288	5	Unknown	Ankara		Ankara	Turkey	39.9199	32.8543
37769824	2023-03-07	Combatant (Syrian Kurds)	International Ethnic,Kurd (Ethnic Group),National Ethnic,National Ethnic Minority,Social	Syria	Engage in diplomatic cooperation	050	3.5	United States		United States	57108288	5	Unknown	Ankara		Ankara	Turkey	39.9199	32.8543
37769917	2023-03-07	China		China	Make optimistic comment	013	0.4	United States		United States	57108289	1	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37769916	2023-03-07	Qin Gang	Executive,Government,Information / Communication / Transparency Ministry	China	Make statement	010	0	China		China	57108289	2	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37769875	2023-03-07	China		China	Praise or endorse	051	3.4	Middle East			57108290	5	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37769874	2023-03-07	China		China	Express intent to engage in diplomatic cooperation (such as policy support)	032	4.5	Middle East			57108290	6	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37769876	2023-03-07	China		China	Make an appeal or request	020	3	Japan		Japan	57108295	1	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37769884	2023-03-07	China		China	Make statement	010	0	Taiwan		Taiwan	57108311	1	Unknown				China	39.9075	116.397
37769900	2023-03-07	Qin Gang	Executive,Government,Information / Communication / Transparency Ministry	China	Make a visit	042	1.9	China		China	57108313	1	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37769901	2023-03-07	China		China	Host a visit	043	2.8	Qin Gang	Executive,Government,Information / Communication / Transparency Ministry	China	57108313	1	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37769892	2023-03-07	Hun Sen	(National) Major Party,Elite,Executive,Executive Office,Government,Government Major Party (In Government),Parties	Cambodia	Praise or endorse	051	3.4	Business (China)	Business,Social	China	57108319	1	Unknown	Phnom Penh		Phnom Penh	Cambodia	11.5625	104.916
